,℃,GJ,GJ
時刻,気温,1系統冷水熱量,2系統冷水熱量
2022/6/22 16:00,26.600 ,0.371 ,0.217 
2022/6/22 17:00,26.900 ,0.112 ,0.140 
2022/6/22 18:00,27.600 ,0.043 ,0.144 
2022/6/22 19:00,27.500 ,0.029 ,0.122 
2022/6/22 20:00,26.700 ,0.000 ,0.042 
2022/6/22 21:00,26.700 ,0.000 ,0.000 
2022/6/22 22:00,26.400 ,0.000 ,0.000 
2022/6/22 23:00,26.400 ,0.000 ,0.000 
2022/6/23 0:00,26.600 ,0.000 ,0.000 
2022/6/23 1:00,27.500 ,0.000 ,0.000 
2022/6/23 2:00,27.100 ,0.000 ,0.000 
2022/6/23 3:00,27.300 ,0.000 ,0.000 
2022/6/23 4:00,26.600 ,0.000 ,0.000 
2022/6/23 5:00,27.200 ,0.000 ,0.000 
2022/6/23 6:00,28.200 ,0.000 ,0.000 
2022/6/23 7:00,28.400 ,0.000 ,0.000 
2022/6/23 8:00,29.100 ,0.107 ,0.001 
2022/6/23 9:00,29.500 ,0.382 ,0.152 
2022/6/23 10:00,30.600 ,0.367 ,0.203 
2022/6/23 11:00,31.200 ,0.382 ,0.207 
2022/6/23 12:00,31.700 ,0.388 ,0.207 
2022/6/23 13:00,32.300 ,0.406 ,0.202 
2022/6/23 14:00,31.700 ,0.391 ,0.197 
2022/6/23 15:00,32.100 ,0.377 ,0.200 
2022/6/23 16:00,31.600 ,0.286 ,0.209 
2022/6/23 17:00,31.600 ,0.094 ,0.190 
2022/6/23 18:00,30.500 ,0.048 ,0.152 
2022/6/23 19:00,30.000 ,0.026 ,0.154 
2022/6/23 20:00,29.700 ,0.009 ,0.061 
2022/6/23 21:00,29.800 ,0.000 ,0.000 
2022/6/23 22:00,29.500 ,0.000 ,0.000 
2022/6/23 23:00,29.400 ,0.000 ,0.000 
2022/6/24 0:00,29.300 ,0.000 ,0.000 
2022/6/24 1:00,29.300 ,0.000 ,0.000 
2022/6/24 2:00,29.200 ,0.000 ,0.000 
2022/6/24 3:00,29.200 ,0.000 ,0.000 
2022/6/24 4:00,29.300 ,0.000 ,0.000 
2022/6/24 5:00,29.200 ,0.000 ,0.000 
2022/6/24 6:00,29.200 ,0.000 ,0.000 
2022/6/24 7:00,29.100 ,0.000 ,0.000 
2022/6/24 8:00,29.200 ,0.124 ,0.002 
2022/6/24 9:00,29.600 ,0.351 ,0.137 
2022/6/24 10:00,30.100 ,0.376 ,0.217 
2022/6/24 11:00,31.500 ,0.400 ,0.220 
2022/6/24 12:00,30.800 ,0.399 ,0.214 
2022/6/24 13:00,31.900 ,0.424 ,0.213 
2022/6/24 14:00,30.000 ,0.412 ,0.237 
2022/6/24 15:00,29.100 ,0.409 ,0.252 
2022/6/24 16:00,29.400 ,0.375 ,0.245 
2022/6/24 17:00,29.200 ,0.267 ,0.228 
2022/6/24 18:00,28.300 ,0.220 ,0.184 
2022/6/24 19:00,28.600 ,0.193 ,0.165 
2022/6/24 20:00,28.000 ,0.091 ,0.051 
2022/6/24 21:00,27.300 ,0.000 ,0.000 
2022/6/24 22:00,27.800 ,0.000 ,0.000 
2022/6/24 23:00,27.300 ,0.000 ,0.000 
2022/6/25 0:00,27.200 ,0.000 ,0.000 
2022/6/25 1:00,27.300 ,0.000 ,0.000 
2022/6/25 2:00,27.300 ,0.000 ,0.000 
2022/6/25 3:00,27.300 ,0.000 ,0.000 
2022/6/25 4:00,27.600 ,0.000 ,0.000 
2022/6/25 5:00,27.700 ,0.000 ,0.000 
2022/6/25 6:00,27.200 ,0.000 ,0.000 
2022/6/25 7:00,27.600 ,0.000 ,0.000 
2022/6/25 8:00,27.000 ,0.000 ,0.000 
2022/6/25 9:00,27.400 ,0.029 ,0.127 
2022/6/25 10:00,22.700 ,0.011 ,0.162 
2022/6/25 11:00,24.400 ,0.024 ,0.109 
2022/6/25 12:00,23.400 ,0.013 ,0.099 
2022/6/25 13:00,24.500 ,0.000 ,0.100 
2022/6/25 14:00,24.500 ,0.000 ,0.104 
2022/6/25 15:00,24.700 ,0.000 ,0.100 
2022/6/25 16:00,23.900 ,0.000 ,0.073 
2022/6/25 17:00,24.200 ,0.000 ,0.028 
2022/6/25 18:00,24.500 ,0.000 ,0.033 
2022/6/25 19:00,24.000 ,0.000 ,0.000 
2022/6/25 20:00,25.500 ,0.000 ,0.000 
2022/6/25 21:00,25.800 ,0.000 ,0.000 
2022/6/25 22:00,25.700 ,0.000 ,0.000 
2022/6/25 23:00,25.100 ,0.000 ,0.000 
2022/6/26 0:00,24.300 ,0.000 ,0.000 
2022/6/26 1:00,24.500 ,0.000 ,0.000 
2022/6/26 2:00,23.800 ,0.000 ,0.000 
2022/6/26 3:00,24.300 ,0.000 ,0.000 
2022/6/26 4:00,24.800 ,0.000 ,0.000 
2022/6/26 5:00,24.700 ,0.000 ,0.000 
2022/6/26 6:00,25.500 ,0.000 ,0.000 
2022/6/26 7:00,25.300 ,0.000 ,0.000 
2022/6/26 8:00,26.900 ,0.000 ,0.000 
2022/6/26 9:00,28.900 ,0.000 ,0.000 
2022/6/26 10:00,29.400 ,0.000 ,0.000 
2022/6/26 11:00,30.000 ,0.000 ,0.000 
2022/6/26 12:00,30.400 ,0.000 ,0.000 
2022/6/26 13:00,30.900 ,0.000 ,0.000 
2022/6/26 14:00,32.000 ,0.000 ,0.000 
2022/6/26 15:00,31.600 ,0.000 ,0.000 
2022/6/26 16:00,32.300 ,0.000 ,0.000 
2022/6/26 17:00,31.800 ,0.000 ,0.000 
2022/6/26 18:00,29.800 ,0.000 ,0.000 
2022/6/26 19:00,29.900 ,0.000 ,0.000 
2022/6/26 20:00,28.900 ,0.000 ,0.000 
2022/6/26 21:00,29.300 ,0.000 ,0.000 
2022/6/26 22:00,28.500 ,0.000 ,0.000 
2022/6/26 23:00,28.300 ,0.000 ,0.000 
2022/6/27 0:00,28.100 ,0.000 ,0.000 
2022/6/27 1:00,27.900 ,0.000 ,0.000 
2022/6/27 2:00,27.500 ,0.000 ,0.000 
2022/6/27 3:00,28.000 ,0.000 ,0.000 
2022/6/27 4:00,27.900 ,0.000 ,0.000 
2022/6/27 5:00,27.400 ,0.000 ,0.000 
2022/6/27 6:00,27.600 ,0.000 ,0.000 
2022/6/27 7:00,28.100 ,0.010 ,0.000 
2022/6/27 8:00,29.100 ,0.342 ,0.004 
2022/6/27 9:00,29.300 ,0.224 ,0.127 
2022/6/27 10:00,30.000 ,0.372 ,0.263 
2022/6/27 11:00,30.800 ,0.379 ,0.270 
2022/6/27 12:00,32.500 ,0.396 ,0.265 
2022/6/27 13:00,32.600 ,0.424 ,0.266 
2022/6/27 14:00,32.700 ,0.405 ,0.261 
2022/6/27 15:00,33.000 ,0.401 ,0.266 
2022/6/27 16:00,33.200 ,0.254 ,0.272 
2022/6/27 17:00,32.800 ,0.100 ,0.282 
2022/6/27 18:00,32.300 ,0.070 ,0.270 
2022/6/27 19:00,31.600 ,0.039 ,0.266 
2022/6/27 20:00,30.400 ,0.012 ,0.126 
2022/6/27 21:00,30.000 ,0.000 ,0.000 
2022/6/27 22:00,29.500 ,0.000 ,0.000 
2022/6/27 23:00,29.100 ,0.000 ,0.000 
2022/6/28 0:00,29.500 ,0.000 ,0.000 
2022/6/28 1:00,28.800 ,0.000 ,0.000 
2022/6/28 2:00,29.300 ,0.000 ,0.000 
2022/6/28 3:00,28.900 ,0.000 ,0.000 
2022/6/28 4:00,28.500 ,0.000 ,0.000 
2022/6/28 5:00,28.600 ,0.000 ,0.000 
