date_time,temp,Heat
2022/6/24 14:00,30,0.412
2022/6/24 15:00,29.1,0.409
2022/6/24 16:00,29.4,0.375
2022/6/24 17:00,29.2,0.267
2022/6/24 18:00,28.3,0.22
2022/6/24 19:00,28.6,0.193
2022/6/24 20:00,28,0.091
2022/6/24 21:00,27.3,0
2022/6/24 22:00,27.8,0
2022/6/24 23:00,27.3,0
2022/6/25 0:00,27.2,0
2022/6/25 1:00,27.3,0
2022/6/25 2:00,27.3,0
2022/6/25 3:00,27.3,0
2022/6/25 4:00,27.6,0
2022/6/25 5:00,27.7,0
2022/6/25 6:00,27.2,0
2022/6/25 7:00,27.6,0
2022/6/25 8:00,27,0
2022/6/25 9:00,27.4,0.029
2022/6/25 10:00,22.7,0.011
2022/6/25 11:00,24.4,0.024
2022/6/25 12:00,23.4,0.013
2022/6/25 13:00,24.5,0
2022/6/25 14:00,24.5,0
2022/6/25 15:00,24.7,0
2022/6/25 16:00,23.9,0
2022/6/25 17:00,24.2,0
2022/6/25 18:00,24.5,0
2022/6/25 19:00,24,0
2022/6/25 20:00,25.5,0
2022/6/25 21:00,25.8,0
2022/6/25 22:00,25.7,0
2022/6/25 23:00,25.1,0
2022/6/26 0:00,24.3,0
2022/6/26 1:00,24.5,0
2022/6/26 2:00,23.8,0
2022/6/26 3:00,24.3,0
2022/6/26 4:00,24.8,0
2022/6/26 5:00,24.7,0
2022/6/26 6:00,25.5,0
2022/6/26 7:00,25.3,0
2022/6/26 8:00,26.9,0
2022/6/26 9:00,28.9,0
2022/6/26 10:00,29.4,0
2022/6/26 11:00,30,0
2022/6/26 12:00,30.4,0
2022/6/26 13:00,30.9,0
2022/6/26 14:00,32,0
2022/6/26 15:00,31.6,0
2022/6/26 16:00,32.3,0
2022/6/26 17:00,31.8,0
2022/6/26 18:00,29.8,0
2022/6/26 19:00,29.9,0
2022/6/26 20:00,28.9,0
2022/6/26 21:00,29.3,0
2022/6/26 22:00,28.5,0
2022/6/26 23:00,28.3,0
2022/6/27 0:00,28.1,0
2022/6/27 1:00,27.9,0
2022/6/27 2:00,27.5,0
2022/6/27 3:00,28,0
2022/6/27 4:00,27.9,0
2022/6/27 5:00,27.4,0
2022/6/27 6:00,27.6,0
2022/6/27 7:00,28.1,0.01
2022/6/27 8:00,29.1,0.342
2022/6/27 9:00,29.3,0.224
2022/6/27 10:00,30,0.372
2022/6/27 11:00,30.8,0.379
2022/6/27 12:00,32.5,0.396
2022/6/27 13:00,32.6,0.424
2022/6/27 14:00,32.7,0.405
2022/6/27 15:00,33,0.401
2022/6/27 16:00,33.2,0.254
2022/6/27 17:00,32.8,0.1
2022/6/27 18:00,32.3,0.07
2022/6/27 19:00,31.6,0.039
2022/6/27 20:00,30.4,0.012
2022/6/27 21:00,30,0
2022/6/27 22:00,29.5,0
2022/6/27 23:00,29.1,0
2022/6/28 0:00,29.5,0
2022/6/28 1:00,28.8,0
2022/6/28 2:00,29.3,0
2022/6/28 3:00,28.9,0
2022/6/28 4:00,28.5,0
2022/6/28 5:00,28.6,0
2022/6/28 6:00,28.5,0
2022/6/28 7:00,28.5,0
2022/6/28 8:00,29.3,0.399
2022/6/28 9:00,30.4,0.422
2022/6/28 10:00,31.4,0.406
2022/6/28 11:00,32.1,0.393
2022/6/28 12:00,32.3,0.404
2022/6/28 13:00,32.8,0.418
2022/6/28 14:00,33.4,0.394
2022/6/28 15:00,33.3,0.385
2022/6/28 16:00,32.9,0.369
2022/6/28 17:00,32.7,0.178
2022/6/28 18:00,31.7,0.073
2022/6/28 19:00,30.5,0.037
2022/6/28 20:00,29.8,0.019
2022/6/28 21:00,29.4,0
2022/6/28 22:00,29.2,0
2022/6/28 23:00,29.2,0
2022/6/29 0:00,29.2,0
2022/6/29 1:00,28.6,0
2022/6/29 2:00,28.7,0
2022/6/29 3:00,28.6,0
2022/6/29 4:00,28.3,0
2022/6/29 5:00,27.8,0
2022/6/29 6:00,27.9,0
2022/6/29 7:00,28.5,0.02
2022/6/29 8:00,29.1,0.476
2022/6/29 9:00,30.4,0.399
2022/6/29 10:00,31.6,0.378
2022/6/29 11:00,32.4,0.383
2022/6/29 12:00,33.1,0.384
2022/6/29 13:00,33.4,0.403
2022/6/29 14:00,34.1,0.389
2022/6/29 15:00,33.9,0.383
2022/6/29 16:00,33.4,0.389
2022/6/29 17:00,33.5,0.144
2022/6/29 18:00,32.6,0.07
2022/6/29 19:00,31.8,0.052
2022/6/29 20:00,30.9,0.012
2022/6/29 21:00,30.3,0
2022/6/29 22:00,29.7,0
2022/6/29 23:00,29.7,0
2022/6/30 0:00,28.8,0
2022/6/30 1:00,28.7,0
2022/6/30 2:00,28.5,0
2022/6/30 3:00,28.2,0
2022/6/30 4:00,27.5,0
2022/6/30 5:00,27.9,0
2022/6/30 6:00,27.2,0
2022/6/30 7:00,28.2,0.074
2022/6/30 8:00,29.1,0.361
2022/6/30 9:00,30.4,0.277
2022/6/30 10:00,32.4,0.389
2022/6/30 11:00,33.1,0.402
2022/6/30 12:00,33.7,0.381
2022/6/30 13:00,34.6,0.41
2022/6/30 14:00,33.9,0.392
2022/6/30 15:00,31.7,0.4
2022/6/30 16:00,31.2,0.388
2022/6/30 17:00,30.7,0.373
2022/6/30 18:00,29.8,0.123
2022/6/30 19:00,29.5,0.043
2022/6/30 20:00,28.9,0.014
2022/6/30 21:00,28.5,0
2022/6/30 22:00,28.8,0
2022/6/30 23:00,28.2,0
2022/7/1 0:00,28,0
2022/7/1 1:00,27.8,0
2022/7/1 2:00,27.5,0
2022/7/1 3:00,26.7,0
2022/7/1 4:00,26.6,0
2022/7/1 5:00,26.8,0
2022/7/1 6:00,27.2,0
2022/7/1 7:00,27.9,0.096
2022/7/1 8:00,29.2,0.48
2022/7/1 9:00,31.1,0.419
2022/7/1 10:00,31.5,0.425
2022/7/1 11:00,32.2,0.422
2022/7/1 12:00,32.9,0.411
2022/7/1 13:00,33,0.426
2022/7/1 14:00,32.2,0.419
2022/7/1 15:00,32.7,0.408
2022/7/1 16:00,31.2,0.384
2022/7/1 17:00,31,0.166
2022/7/1 18:00,29.7,0.082
2022/7/1 19:00,28.7,0.054
2022/7/1 20:00,28,0.014
2022/7/1 21:00,27.4,0
2022/7/1 22:00,27.2,0
2022/7/1 23:00,27.4,0
2022/7/2 0:00,27.4,0
2022/7/2 1:00,27,0
2022/7/2 2:00,26.7,0
2022/7/2 3:00,26.9,0
2022/7/2 4:00,26.6,0
2022/7/2 5:00,26.3,0
2022/7/2 6:00,26.6,0
2022/7/2 7:00,27.6,0
2022/7/2 8:00,29.2,0.003
2022/7/2 9:00,30.8,0.067
2022/7/2 10:00,33,0.048
2022/7/2 11:00,34.1,0.031
2022/7/2 12:00,35,0.045
2022/7/2 13:00,34.1,0.029
2022/7/2 14:00,34.2,0.05
2022/7/2 15:00,34.7,0.028
2022/7/2 16:00,34.4,0.042
2022/7/2 17:00,33.3,0.048
2022/7/2 18:00,32.2,0.015
2022/7/2 19:00,30.6,0
2022/7/2 20:00,30,0
2022/7/2 21:00,29.8,0
2022/7/2 22:00,30.4,0
2022/7/2 23:00,29.7,0
2022/7/3 0:00,29.3,0
